profile,placement,failure_law,repetition,period,request_id,trace_id,trace_header,scheduled_offset_seconds,started_at,completed_at,operation,branch_class,status_code,immediate_success,semantic_success,semantic_rule,semantic_reason,timed_out,latency_ms,response_bytes,response_sha256,error
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000000,0e20198162db557b1c01fe55aac3d8ad,traceparent,0.0,2026-09-08T08:41:10.425960+00:00,2026-09-08T08:41:10.442679+00:00,add_to_cart,complete_add_to_cart,200,true,true,whole_operation_contract_v1,,false,16.719037000001435,132,da27ca03ba3a066e2e1fbe4fb37f9a36a23e9477f2e75efc36e97dc6969552ca,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000001,10d70d76e29dd42dc847c6e9471b844b,traceparent,0.25,2026-09-08T08:41:10.675656+00:00,2026-09-08T08:41:10.744104+00:00,checkout,complete_checkout,200,true,true,whole_operation_contract_v1,,false,68.44848700001194,956,73fdc342fa0afb06bb412bd2e95b246802508ca990d64dba216d665392f43cfc,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000002,c87acb0369da883c59bb2611cc00f3b7,traceparent,0.5,2026-09-08T08:41:10.925622+00:00,2026-09-08T08:41:10.938519+00:00,add_to_cart,complete_add_to_cart,200,true,true,whole_operation_contract_v1,,false,12.897417999994332,132,5c5ff9ed4c9579df1ed6a56d2d6691d58e38e55b78a64fc7f8e9ad6b6fab617c,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000003,1609de095caeedf1b02ecd7f51f255b1,traceparent,0.75,2026-09-08T08:41:11.175640+00:00,2026-09-08T08:41:11.187509+00:00,add_to_cart,complete_add_to_cart,200,true,true,whole_operation_contract_v1,,false,11.868724999999358,132,63f9a0eb38c65628e16bac0f54e8e7aa260f36fb39fa6a5542f1750be8450cbe,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000004,09c56aa6299bf1cd66cd3cb84eca3bf8,traceparent,1.0,2026-09-08T08:41:11.425699+00:00,2026-09-08T08:41:11.477827+00:00,checkout,complete_checkout,200,true,true,whole_operation_contract_v1,,false,52.12774200001036,956,eee6f0e133e7cd2192374baa801f872bcb2ee6fc01434c95a5e825e12a503d5a,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000005,5717fced70a3711219a41591a2ab1c01,traceparent,1.25,2026-09-08T08:41:11.675618+00:00,2026-09-08T08:41:11.682373+00:00,browse_product,complete_browse_product,200,true,true,whole_operation_contract_v1,,false,6.753911999993534,506,19dc2bcd5a65336959286a898cdecd48cdbcd555dcc418b23f48324c447b4983,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000006,ff2dc2f56a65eb888411ad3d4b74b445,traceparent,1.5,2026-09-08T08:41:11.925631+00:00,2026-09-08T08:41:11.931188+00:00,browse_product,complete_browse_product,200,true,true,whole_operation_contract_v1,,false,5.556780000006256,506,19dc2bcd5a65336959286a898cdecd48cdbcd555dcc418b23f48324c447b4983,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000007,d1b6e5cfc77be34137549938649d3b40,traceparent,1.75,2026-09-08T08:41:12.175610+00:00,2026-09-08T08:41:12.206358+00:00,checkout,complete_checkout,200,true,true,whole_operation_contract_v1,,false,30.74828999999113,956,bab9d63a49833a8453cf7170ce78c46280336348c417f7bb10eb9e207c1a31a9,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000008,1509c662cbf8d75d6975d1c86f4013b7,traceparent,2.0,2026-09-08T08:41:12.425726+00:00,2026-09-08T08:41:12.433902+00:00,browse_product,complete_browse_product,200,true,true,whole_operation_contract_v1,,false,8.17546000001812,506,19dc2bcd5a65336959286a898cdecd48cdbcd555dcc418b23f48324c447b4983,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000009,7cf2a47d8de45758ee999f812768ed7e,traceparent,2.25,2026-09-08T08:41:12.675624+00:00,2026-09-08T08:41:12.682204+00:00,browse_product,complete_browse_product,200,true,true,whole_operation_contract_v1,,false,6.5790579999998045,506,19dc2bcd5a65336959286a898cdecd48cdbcd555dcc418b23f48324c447b4983,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000010,abff4075828b369d4cde85622b49fea1,traceparent,2.5,2026-09-08T08:41:12.925629+00:00,2026-09-08T08:41:12.937902+00:00,add_to_cart,complete_add_to_cart,200,true,true,whole_operation_contract_v1,,false,12.273531000005278,132,29e256a00197183fc7995636bb51b6336657fafd3297975e6c9bea83cdfc70b5,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000011,484e77bdb14428148f55d6832875d002,traceparent,2.75,2026-09-08T08:41:13.175614+00:00,2026-09-08T08:41:13.181054+00:00,browse_product,complete_browse_product,200,true,true,whole_operation_contract_v1,,false,5.43922700001076,506,19dc2bcd5a65336959286a898cdecd48cdbcd555dcc418b23f48324c447b4983,
opentelemetry_demo,colocated,N,0,baseline,ten-contract-qualification-34205650183-opentelemetry_demo-colocated-N-r0-baseline-000012,02f15fafe9a843f051d2c38a5a02f063,traceparent,3.0,2026-09-08T08:41:13.425672+00:00,2026-09-08T08:41:13.432216+00:00,browse_product,complete_browse_product,200,true,true,whole_operation_contract_v1,,false,6.543706000002203,506,19dc2bcd5a65336959286a898cdecd48cdbcd555dcc418b23f48324c447b4983,
